variant	target_result	target_rlimit	elapsed
iso-mod	unsat	612369	.218825831
full-mod	unknown	919979	.262418649
full-clean	unknown	916388	.233611322
C-iso-content-full-order	unknown	916388	.197041072
D-full-content-iso-order	unsat	612369	.161994953
G-iso-target-query-only	unknown	878207	.074831837
H-full-target-query-only	unknown	899378	.065461285
