config	smt.random_seed	target_result	target_rlimit
iso	0	unsat	4888736
iso	1	unsat	8997598
iso	2	unknown	30000000
iso	3	unsat	11280200
iso	4	unsat	7708547
iso	5	unsat	5403477
iso	6	unsat	22952391
iso	7	unknown	30000000
full	0	unknown	30000000
full	1	unknown	30000000
full	2	unknown	30000000
full	3	unsat	6836702
full	4	unknown	30000000
full	5	unknown	30000000
full	6	unsat	9370092
full	7	unknown	30000000
