    Spec/   Proof/    Exec/    Rust File
       0/       0/       0/      80 apas-ai/benches/Chap37/BenchBSTSetBBAlphaMtEph.rs
       0/       0/       0/      80 apas-ai/benches/Chap37/BenchBSTSetPlainMtEph.rs
       0/       0/       0/      80 apas-ai/benches/Chap37/BenchBSTSetRBMtEph.rs
       0/       0/       0/      80 apas-ai/benches/Chap37/BenchBSTSetSplayMtEph.rs
       0/       0/       0/      46 apas-ai/benches/Chap37/BenchBSTSplayMtEph.rs
       0/       0/       0/      46 apas-ai/benches/Chap37/BenchBSTSplayStEph.rs
       0/       0/       0/      38 apas-ai/benches/Chap38/BenchBSTParaStEph.rs
       0/       0/       0/     103 apas-ai/benches/Chap39/BenchBSTParaTreapMtEph.rs
       0/       0/       0/      81 apas-ai/benches/Chap39/BenchBSTSetTreapMtEph.rs
       0/       0/       0/      46 apas-ai/benches/Chap39/BenchBSTTreapStEph.rs
       0/       0/       0/      61 apas-ai/benches/Chap40/BenchBSTKeyValueStEph.rs
       0/       0/       0/     106 apas-ai/benches/Chap40/BenchBSTReducedStEph.rs
       0/       0/       0/      88 apas-ai/benches/Chap40/BenchBSTSizeStEph.rs
       0/       0/       0/      39 apas-ai/benches/Chap41/BenchAVLTreeSetStEph.rs
       0/       0/       0/     177 apas-ai/benches/Chap41/BenchAVLTreeSetStPer.rs
       0/       0/       0/     179 apas-ai/benches/Chap41/BenchArraySetEnumMtEph.rs
       0/       0/       0/     172 apas-ai/benches/Chap41/BenchArraySetStEph.rs
       0/       0/       0/     284 apas-ai/benches/Chap42/BenchTableMtEph.rs
       0/       0/       0/     230 apas-ai/benches/Chap42/BenchTableStEph.rs
       0/       0/       0/     173 apas-ai/benches/Chap42/BenchTableStPer.rs
       0/       0/       0/     410 apas-ai/benches/Chap43/BenchAugOrderedTableMtEph.rs
       0/       0/       0/     378 apas-ai/benches/Chap43/BenchAugOrderedTableStEph.rs
       0/       0/       0/     234 apas-ai/benches/Chap43/BenchAugOrderedTableStPer.rs
       0/       0/       0/     342 apas-ai/benches/Chap43/BenchOrderedSetMtEph.rs
       0/       0/       0/     333 apas-ai/benches/Chap43/BenchOrderedSetStEph.rs
       0/       0/       0/     316 apas-ai/benches/Chap43/BenchOrderedTableMtEph.rs
       0/       0/       0/     307 apas-ai/benches/Chap43/BenchOrderedTableStEph.rs
       0/       0/       0/      95 apas-ai/benches/Chap45/BenchBalancedTreePQ.rs
       0/       0/       0/      95 apas-ai/benches/Chap45/BenchBinaryHeapPQ.rs
       0/       0/       0/      30 apas-ai/benches/Chap45/BenchHeapsortExample.rs
       0/       0/       0/      95 apas-ai/benches/Chap45/BenchLeftistHeapPQ.rs
       0/       0/       0/      95 apas-ai/benches/Chap45/BenchSortedListPQ.rs
       0/       0/       0/      95 apas-ai/benches/Chap45/BenchUnsortedListPQ.rs
       0/       0/       0/      26 apas-ai/benches/Chap49/BenchMinEditDistMtEph.rs
       0/       0/       0/      28 apas-ai/benches/Chap49/BenchMinEditDistMtPer.rs
       0/       0/       0/      26 apas-ai/benches/Chap49/BenchMinEditDistStEph.rs
       0/       0/       0/      28 apas-ai/benches/Chap49/BenchMinEditDistStPer.rs
       0/       0/       0/      23 apas-ai/benches/Chap49/BenchSubsetSumMtEph.rs
       0/       0/       0/      21 apas-ai/benches/Chap49/BenchSubsetSumMtPer.rs
       0/       0/       0/      23 apas-ai/benches/Chap49/BenchSubsetSumStEph.rs
       0/       0/       0/      22 apas-ai/benches/Chap49/BenchSubsetSumStPer.rs
       0/       0/       0/      29 apas-ai/benches/Chap50/BenchMatrixChainStEph.rs
       0/       0/       0/      29 apas-ai/benches/Chap50/BenchMatrixChainStPer.rs
       0/       0/       0/      24 apas-ai/benches/Chap50/BenchOptBinSearchTreeStEph.rs
       0/       0/       0/      24 apas-ai/benches/Chap50/BenchOptBinSearchTreeStPer.rs
       0/       0/       0/      21 apas-ai/benches/Chap51/BenchBottomUpDPMtEph.rs
       0/       0/       0/      21 apas-ai/benches/Chap51/BenchBottomUpDPMtPer.rs
       0/       0/       0/      21 apas-ai/benches/Chap51/BenchBottomUpDPStEph.rs
