    Spec/   Proof/    Exec/    Rust File
--------------------------------------------
       0/       0/       0/      26 benches/Chap03/BenchInsertionSortStEph.rs
      21/      35/      31/       9 src/Chap02/FibonacciHFScheduler.rs
      19/       0/      65/      67 src/Chap02/HFSchedulerMtEph.rs
      13/      24/      49/       7 src/Chap03/InsertionSortStEph.rs
      60/      36/      39/      15 src/Chap05/KleeneStPer.rs
     149/     102/     149/      41 src/Chap05/MappingStEph.rs
      97/      37/      84/      32 src/Chap05/RelationStEph.rs
     214/     111/     541/      68 src/Chap05/SetMtEph.rs
     193/      70/     408/      44 src/Chap05/SetStEph.rs
     385/      93/     352/      64 src/Chap06/DirGraphMtEph.rs
     153/     113/     236/      51 src/Chap06/DirGraphStEph.rs
     226/     127/     289/      59 src/Chap06/LabDirGraphMtEph.rs
     120/      59/     217/      43 src/Chap06/LabDirGraphStEph.rs
     199/     140/     280/      70 src/Chap06/LabUnDirGraphMtEph.rs
     119/      62/     181/      54 src/Chap06/LabUnDirGraphStEph.rs
     234/      50/     221/      64 src/Chap06/UnDirGraphMtEph.rs
     134/      56/     121/      52 src/Chap06/UnDirGraphStEph.rs
      26/      47/     146/      23 src/Chap06/WeightedDirGraphStEphF64.rs
      38/      91/     246/      23 src/Chap06/WeightedDirGraphStEphI128.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphI16.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphI32.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphI64.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphI8.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphIsize.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU128.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU16.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU32.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU64.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU8.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphUsize.rs
       2/       8/      83/       8 src/Chap11/FibonacciMtEph2Threads.rs
       3/       8/      87/       6 src/Chap11/FibonacciMtEphRecomputes.rs
       5/       1/      25/       7 src/Chap11/FibonacciMtPerAllThreads.rs
       3/       8/      85/       6 src/Chap11/FibonacciMtPerTSM.rs
      26/      28/      43/      10 src/Chap11/FibonacciStEph.rs
       7/       0/      50/      17 src/Chap12/Exercise12_1.rs
       0/       0/      12/       4 src/Chap12/Exercise12_2.rs
       6/       0/      60/      25 src/Chap12/Exercise12_5.rs
     153/      61/     236/      83 src/Chap17/MathSeq.rs
     331/     312/     625/      43 src/Chap18/ArraySeq.rs
     291/     402/     816/      63 src/Chap18/ArraySeqMtEph.rs
     357/     244/     788/      64 src/Chap18/ArraySeqMtEphSlice.rs
     271/     384/     887/      59 src/Chap18/ArraySeqMtPer.rs
      34/      34/       0/       3 src/Chap18/ArraySeqSpecsAndLemmas.rs
     200/     121/     462/      43 src/Chap18/ArraySeqStEph.rs
     190/     121/     445/      53 src/Chap18/ArraySeqStPer.rs
     169/      95/     374/      45 src/Chap18/LinkedListStEph.rs
     164/      95/     365/      45 src/Chap18/LinkedListStPer.rs
     287/     329/     719/      49 src/Chap19/ArraySeqMtEph.rs
     375/     228/     798/      64 src/Chap19/ArraySeqMtEphSlice.rs
      34/      34/       0/       3 src/Chap19/ArraySeqSpecsAndLemmas.rs
     230/     151/     439/      49 src/Chap19/ArraySeqStEph.rs
     224/     158/     447/      49 src/Chap19/ArraySeqStPer.rs
      25/      28/      90/       3 src/Chap21/Algorithm21_1.rs
       7/      32/      58/       7 src/Chap21/Algorithm21_2.rs
       8/      20/      25/       3 src/Chap21/Algorithm21_5.rs
       8/      33/      78/       3 src/Chap21/Algorithm21_6.rs
      11/      28/      32/       5 src/Chap21/Exercise21_5.rs
       0/       0/       0/       3 src/Chap21/Exercise21_6.rs
      13/      17/      52/       5 src/Chap21/Exercise21_7.rs
      38/     124/      41/       5 src/Chap21/Exercise21_8.rs
      17/      55/       0/       3 src/Chap21/Exercise21_9.rs
       9/       0/      45/       3 src/Chap21/Problem21_1.rs
      11/      63/      74/       5 src/Chap21/Problem21_3.rs
      12/      26/     100/       5 src/Chap21/Problem21_4.rs
     279/      64/     169/      93 src/Chap23/BalBinTreeStEph.rs
     187/      86/     404/      59 src/Chap23/PrimTreeSeqStPer.rs
      71/      75/      73/       3 src/Chap26/DivConReduceMtPer.rs
      42/       0/      67/       3 src/Chap26/DivConReduceStPer.rs
     125/     137/     308/      30 src/Chap26/ETSPMtEph.rs
     100/     152/     176/      81 src/Chap26/ETSPStEph.rs
      68/     305/     256/       3 src/Chap26/MergeSortMtPer.rs
      36/      66/     113/       3 src/Chap26/MergeSortStPer.rs
      40/      73/     170/       3 src/Chap26/ScanDCMtPer.rs
      36/      76/     150/       3 src/Chap26/ScanDCStPer.rs
      48/     104/       0/       3 src/Chap27/ContractSpecsAndLemmas.rs
      18/      37/      65/       4 src/Chap27/ReduceContractMtEph.rs
       8/      43/      79/       3 src/Chap27/ReduceContractStEph.rs
      22/      42/     134/       4 src/Chap27/ScanContractMtEph.rs
      21/      39/     160/       3 src/Chap27/ScanContractStEph.rs
     130/      71/       0/       3 src/Chap28/MCSSSpec.rs
      16/       3/      75/       5 src/Chap28/MaxContigSubSumBruteStEph.rs
      21/      61/     104/      10 src/Chap28/MaxContigSubSumDivConMtEph.rs
      24/      45/      49/      10 src/Chap28/MaxContigSubSumDivConOptMtEph.rs
      61/     205/      54/       5 src/Chap28/MaxContigSubSumDivConOptStEph.rs
      44/     143/     126/       5 src/Chap28/MaxContigSubSumDivConStEph.rs
      39/      74/      69/       5 src/Chap28/MaxContigSubSumIterStEph.rs
       7/      17/     106/       8 src/Chap28/MaxContigSubSumOptMtEph.rs
      23/      51/     121/       5 src/Chap28/MaxContigSubSumOptStEph.rs
      15/      60/      85/       5 src/Chap28/MaxContigSubSumReducedMcsseStEph.rs
      15/       3/      74/       5 src/Chap28/MaxContigSubSumReducedStEph.rs
       6/       0/      36/      25 src/Chap30/Probability.rs
      77/     239/     217/       3 src/Chap35/OrderStatSelectMtEph.rs
      77/     237/     217/       3 src/Chap35/OrderStatSelectMtPer.rs
      21/     184/     109/       3 src/Chap35/OrderStatSelectStEph.rs
      21/     174/     110/       3 src/Chap35/OrderStatSelectStPer.rs
      58/     224/     383/       3 src/Chap36/QuickSortMtEph.rs
     101/     380/     421/       3 src/Chap36/QuickSortMtEphSlice.rs
      58/     228/     335/       3 src/Chap36/QuickSortStEph.rs
     324/     179/     534/      69 src/Chap37/AVLTreeSeq.rs
     235/     111/     345/      97 src/Chap37/AVLTreeSeqMtPer.rs
     326/     149/     540/      80 src/Chap37/AVLTreeSeqStEph.rs
     254/     166/     365/      84 src/Chap37/AVLTreeSeqStPer.rs
     168/     243/     354/      38 src/Chap37/BSTAVLMtEph.rs
     181/     304/     310/      26 src/Chap37/BSTAVLStEph.rs
     112/     168/     316/      38 src/Chap37/BSTBBAlphaMtEph.rs
     130/     158/     245/      30 src/Chap37/BSTBBAlphaStEph.rs
     112/     157/     313/      38 src/Chap37/BSTPlainMtEph.rs
     148/     152/     246/      30 src/Chap37/BSTPlainStEph.rs
     213/     477/     528/      70 src/Chap37/BSTRBMtEph.rs
      77/     132/     238/      26 src/Chap37/BSTRBStEph.rs
     110/       1/     362/      51 src/Chap37/BSTSetAVLMtEph.rs
     109/       1/     316/      48 src/Chap37/BSTSetBBAlphaMtEph.rs
     109/       1/     316/      48 src/Chap37/BSTSetPlainMtEph.rs
     110/       1/     362/      51 src/Chap37/BSTSetRBMtEph.rs
     110/       1/     366/      51 src/Chap37/BSTSetSplayMtEph.rs
     112/     198/       0/       3 src/Chap37/BSTSpecsAndLemmas.rs
     254/     938/     593/      56 src/Chap37/BSTSplayMtEph.rs
     210/     784/     395/      42 src/Chap37/BSTSplayStEph.rs
     337/     472/     638/      69 src/Chap38/BSTParaMtEph.rs
      39/      27/       0/       7 src/Chap38/BSTParaSpecsAndLemmas.rs
