    Spec/   Proof/    Exec/    Rust File
--------------------------------------------
      21/      35/      31/       9 Chap02/FibonacciHFScheduler.rs
      19/       0/      65/      67 Chap02/HFSchedulerMtEph.rs
      13/      24/      49/       7 Chap03/InsertionSortStEph.rs
      60/      36/      39/      15 Chap05/KleeneStPer.rs
     149/     102/     149/      41 Chap05/MappingStEph.rs
      97/      37/      84/      32 Chap05/RelationStEph.rs
     214/     111/     541/      68 Chap05/SetMtEph.rs
     193/      70/     408/      44 Chap05/SetStEph.rs
     385/      93/     352/      64 Chap06/DirGraphMtEph.rs
     153/     113/     236/      51 Chap06/DirGraphStEph.rs
     226/     127/     289/      59 Chap06/LabDirGraphMtEph.rs
     120/      59/     217/      43 Chap06/LabDirGraphStEph.rs
     199/     140/     280/      70 Chap06/LabUnDirGraphMtEph.rs
     119/      62/     181/      54 Chap06/LabUnDirGraphStEph.rs
     234/      50/     221/      64 Chap06/UnDirGraphMtEph.rs
     134/      56/     121/      52 Chap06/UnDirGraphStEph.rs
      26/      47/     146/      23 Chap06/WeightedDirGraphStEphF64.rs
      38/      91/     246/      23 Chap06/WeightedDirGraphStEphI128.rs
      38/      89/     241/      23 Chap06/WeightedDirGraphStEphI16.rs
      38/      89/     241/      23 Chap06/WeightedDirGraphStEphI32.rs
      38/      89/     241/      23 Chap06/WeightedDirGraphStEphI64.rs
      38/      89/     241/      23 Chap06/WeightedDirGraphStEphI8.rs
      38/      89/     241/      23 Chap06/WeightedDirGraphStEphIsize.rs
      38/      90/     241/      23 Chap06/WeightedDirGraphStEphU128.rs
      38/      90/     241/      23 Chap06/WeightedDirGraphStEphU16.rs
      38/      90/     241/      23 Chap06/WeightedDirGraphStEphU32.rs
      38/      90/     241/      23 Chap06/WeightedDirGraphStEphU64.rs
      38/      90/     241/      23 Chap06/WeightedDirGraphStEphU8.rs
      38/      90/     241/      23 Chap06/WeightedDirGraphStEphUsize.rs
       2/       8/      83/       8 Chap11/FibonacciMtEph2Threads.rs
       3/       8/      87/       6 Chap11/FibonacciMtEphRecomputes.rs
       5/       1/      25/       7 Chap11/FibonacciMtPerAllThreads.rs
       3/       8/      85/       6 Chap11/FibonacciMtPerTSM.rs
      26/      28/      43/      10 Chap11/FibonacciStEph.rs
       7/       0/      50/      17 Chap12/Exercise12_1.rs
       0/       0/      12/       4 Chap12/Exercise12_2.rs
       6/       0/      60/      25 Chap12/Exercise12_5.rs
     153/      61/     236/      83 Chap17/MathSeq.rs
     338/     312/     631/      43 Chap18/ArraySeq.rs
     291/     402/     816/      63 Chap18/ArraySeqMtEph.rs
     357/     244/     788/      64 Chap18/ArraySeqMtEphSlice.rs
