    Finished `release` profile [optimized] target(s) in 0.14s
        PASS [   0.005s] (  63/4368) apas-verus::TestAVLTreeSeqMtPer test_empty_subseq
        PASS [   0.004s] (  64/4368) apas-verus::TestAVLTreeSeqMtPer test_isempty
        PASS [   0.004s] (  65/4368) apas-verus::TestAVLTreeSeqMtPer test_from_vec
        PASS [   0.004s] (  66/4368) apas-verus::TestAVLTreeSeqMtPer test_issingleton
        PASS [   0.004s] (  67/4368) apas-verus::TestAVLTreeSeqMtPer test_force_all_rotation_cases
        PASS [   0.004s] (  68/4368) apas-verus::TestAVLTreeSeqMtPer test_equality_comprehensive
        PASS [   0.004s] (  69/4368) apas-verus::TestAVLTreeSeqMtPer test_extreme_imbalance_scenarios
        PASS [   0.004s] (  70/4368) apas-verus::TestAVLTreeSeqMtPer test_left_right_rotation
        PASS [   0.004s] (  71/4368) apas-verus::TestAVLTreeSeqMtPer test_iterator_comprehensive
        PASS [   0.004s] (  72/4368) apas-verus::TestAVLTreeSeqMtPer test_length
        PASS [   0.004s] (  73/4368) apas-verus::TestAVLTreeSeqMtPer test_large_sequence
        PASS [   0.005s] (  74/4368) apas-verus::TestAVLTreeSeqMtPer test_iter
        PASS [   0.004s] (  75/4368) apas-verus::TestAVLTreeSeqMtPer test_large_tree_rotations
        PASS [   0.004s] (  76/4368) apas-verus::TestAVLTreeSeqMtPer test_reverse_insertion_order
        PASS [   0.004s] (  77/4368) apas-verus::TestAVLTreeSeqMtPer test_multiple_structural_sharing
        PASS [   0.004s] (  78/4368) apas-verus::TestAVLTreeSeqMtPer test_persistence
        PASS [   0.004s] (  79/4368) apas-verus::TestAVLTreeSeqMtPer test_new
        PASS [   0.004s] (  80/4368) apas-verus::TestAVLTreeSeqMtPer test_multiple_sets
        PASS [   0.004s] (  81/4368) apas-verus::TestAVLTreeSeqMtPer test_nth
        PASS [   0.004s] (  82/4368) apas-verus::TestAVLTreeSeqMtPer test_right_left_rotation
        PASS [   0.004s] (  83/4368) apas-verus::TestAVLTreeSeqMtPer test_set
        PASS [   0.004s] (  84/4368) apas-verus::TestAVLTreeSeqMtPer test_sequential_insertions_causing_rotations
        PASS [   0.004s] (  85/4368) apas-verus::TestAVLTreeSeqMtPer test_rotation_right_heavy
        PASS [   0.004s] (  86/4368) apas-verus::TestAVLTreeSeqMtPer test_rotation_left_heavy
        PASS [   0.004s] (  87/4368) apas-verus::TestAVLTreeSeqMtPer test_set_at_index_zero_empty
        PASS [   0.004s] (  88/4368) apas-verus::TestAVLTreeSeqMtPer test_set_boundary
        PASS [   0.004s] (  89/4368) apas-verus::TestAVLTreeSeqMtPer test_set_out_of_bounds
        PASS [   0.004s] (  90/4368) apas-verus::TestAVLTreeSeqMtPer test_singleton
        PASS [   0.004s] (  91/4368) apas-verus::TestAVLTreeSeqMtPer test_subseq_copy
        PASS [   0.004s] (  92/4368) apas-verus::TestAVLTreeSeqMtPer test_singleton_operations
        PASS [   0.004s] (  93/4368) apas-verus::TestAVLTreeSeqMtPer test_subseq_copy_comprehensive
        PASS [   0.004s] (  94/4368) apas-verus::TestAVLTreeSeqMtPer test_trigger_rotations
        PASS [   0.004s] (  95/4368) apas-verus::TestAVLTreeSeqMtPer test_values_in_order_comprehensive
        PASS [   0.004s] (  96/4368) apas-verus::TestAVLTreeSeqStEph test_clone_impl
        PASS [   0.005s] (  97/4368) apas-verus::TestAVLTreeSeqMtPer test_values_in_order
        PASS [   0.005s] (  98/4368) apas-verus::TestAVLTreeSeqMtPer test_very_large_sequence
        PASS [   0.005s] (  99/4368) apas-verus::TestAVLTreeSeqMtPer test_subseq_then_modify
        PASS [   0.004s] ( 100/4368) apas-verus::TestAVLTreeSeqStEph test_default_impl
        PASS [   0.004s] ( 101/4368) apas-verus::TestAVLTreeSeqStEph test_from_vec
        PASS [   0.004s] ( 102/4368) apas-verus::TestAVLTreeSeqStEph test_contains_value
        PASS [   0.004s] ( 103/4368) apas-verus::TestAVLTreeSeqStEph test_delete_value
        PASS [   0.005s] ( 104/4368) apas-verus::TestAVLTreeSeqStEph test_eq_impl
        PASS [   0.005s] ( 105/4368) apas-verus::TestAVLTreeSeqStEph test_empty
        PASS [   0.004s] ( 106/4368) apas-verus::TestAVLTreeSeqStEph test_insert_value
        PASS [   0.004s] ( 107/4368) apas-verus::TestAVLTreeSeqStEph test_isEmpty
        PASS [   0.004s] ( 108/4368) apas-verus::TestAVLTreeSeqStEph test_iter
        PASS [   0.004s] ( 109/4368) apas-verus::TestAVLTreeSeqStEph test_isSingleton
        PASS [   0.004s] ( 110/4368) apas-verus::TestAVLTreeSeqStEph test_new
        PASS [   0.004s] ( 111/4368) apas-verus::TestAVLTreeSeqStEph test_length
        PASS [   0.004s] ( 112/4368) apas-verus::TestAVLTreeSeqStEph test_singleton
        PASS [   0.004s] ( 113/4368) apas-verus::TestAVLTreeSeqStEph test_set
        PASS [   0.004s] ( 114/4368) apas-verus::TestAVLTreeSeqStEph test_new_root
        PASS [   0.004s] ( 115/4368) apas-verus::TestAVLTreeSeqStEph test_partialeq_impl
        PASS [   0.004s] ( 116/4368) apas-verus::TestAVLTreeSeqStEph test_nth
        PASS [   0.004s] ( 117/4368) apas-verus::TestAVLTreeSeqStEph test_push_back
        PASS [   0.004s] ( 118/4368) apas-verus::TestAVLTreeSeqStEph test_update
        PASS [   0.004s] ( 119/4368) apas-verus::TestAVLTreeSeqStEph18 test_filter_even
        PASS [   0.004s] ( 120/4368) apas-verus::TestAVLTreeSeqStEph18 test_append_union
        PASS [   0.004s] ( 121/4368) apas-verus::TestAVLTreeSeqStEph18 test_map_increment
        PASS [   0.005s] ( 122/4368) apas-verus::TestAVLTreeSeqStEph test_to_arrayseq
        PASS [   0.006s] ( 123/4368) apas-verus::TestAVLTreeSeqStEph test_subseq_copy
        PASS [   0.004s] ( 124/4368) apas-verus::TestAVLTreeSeqStEph18 test_tabulate_inorder
        PASS [   0.004s] ( 125/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_empty_constructor
        PASS [   0.004s] ( 126/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_delete_value
        PASS [   0.004s] ( 127/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_ephemeral_basic
        PASS [   0.004s] ( 128/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_equality
        PASS [   0.006s] ( 129/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_contains_value
        PASS [   0.004s] ( 130/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_insert_value
        PASS [   0.004s] ( 131/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_from_vec_constructor
        PASS [   0.004s] ( 132/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_iterator
        PASS [   0.004s] ( 133/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_large_tree_operations
        PASS [   0.004s] ( 134/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_macro_literal
        PASS [   0.004s] ( 135/4368) apas-verus::TestAVLTreeSeqStEphChap37 test_avl_nth_out_of_bounds_panics
