BSTBBAlphaStEph seed 1 logs/validate.20260924-214738.log: verification results:: 63 verified, 0 errors
BSTBBAlphaStEph seed 2 logs/validate.20260924-214749.log: verification results:: 63 verified, 0 errors
BSTBBAlphaStEph seed 3 logs/validate.20260924-214801.log: verification results:: 63 verified, 0 errors
BSTBBAlphaStEph seed 4 logs/validate.20260924-214812.log: verification results:: 63 verified, 0 errors
BSTBBAlphaStEph seed 5 logs/validate.20260924-214823.log: verification results:: 63 verified, 0 errors
BSTBBAlphaStEph seed 6 logs/validate.20260924-214834.log: verification results:: 63 verified, 0 errors
BSTBBAlphaStEph seed 7 logs/validate.20260924-214845.log: verification results:: 63 verified, 0 errors
BSTBBAlphaStEph seed 8 logs/validate.20260924-214856.log: verification results:: 63 verified, 0 errors
BSTBBAlphaMtEph seed 1 logs/validate.20260924-214907.log: verification results:: 64 verified, 0 errors
BSTBBAlphaMtEph seed 2 logs/validate.20260924-214919.log: verification results:: 64 verified, 0 errors
BSTBBAlphaMtEph seed 3 logs/validate.20260924-214930.log: verification results:: 64 verified, 0 errors
BSTBBAlphaMtEph seed 4 logs/validate.20260924-214941.log: verification results:: 64 verified, 0 errors
BSTBBAlphaMtEph seed 5 logs/validate.20260924-214952.log: verification results:: 64 verified, 0 errors
BSTBBAlphaMtEph seed 6 logs/validate.20260924-215003.log: verification results:: 64 verified, 0 errors
BSTBBAlphaMtEph seed 7 logs/validate.20260924-215015.log: verification results:: 64 verified, 0 errors
BSTBBAlphaMtEph seed 8 logs/validate.20260924-215026.log: verification results:: 64 verified, 0 errors
